Transaction_ID,Date,ProductID,UnitPrice,Quantity,StoreLocation,PaymentType,PromotionApplied,Weather,Temperature,CustomerFeedback,DeliveryTime_min,OrderType,CustomerID,StaffID,DayOfWeek,TotalSales
0,2023-01-01 00:00:00,0,12.532304149429804,2,South,Cash,True,Rainy,20.654913930695127,Neutral,30,In Store,0,0,Sunday,25.064608298859607
1,2023-01-01 01:00:00,1,7.083069895947755,1,South,Cash,False,Rainy,23.54949697205013,Positive,33,In Store,1,1,Sunday,7.083069895947755
2,2023-01-01 02:00:00,2,6.736064100180581,5,North,Cash,True,Rainy,27.154342182681738,Unknown,43,Phone Order,2,2,Sunday,33.68032050090291
3,2023-01-01 03:00:00,3,7.314823479246191,2,North,Cash,False,Cloudy,20.13748325275725,Positive,32,Online Order,3,3,Sunday,14.629646958492382
4,2023-01-01 04:00:00,4,7.577727219906418,1,East,Credit Card,True,Cloudy,23.02098654190831,Neutral,58,In Store,4,4,Sunday,7.577727219906418
5,2023-01-01 05:00:00,1,14.568156389954508,2,West,Cash,True,Rainy,27.154342182681738,Neutral,30,Phone Order,5,5,Sunday,29.136312779909016
6,2023-01-01 06:00:00,1,16.114718754118677,3,North,Credit Card,False,Cloudy,29.201027697832565,Unknown,15,In Store,6,6,Sunday,48.34415626235603
7,2023-01-01 07:00:00,3,12.94987284389628,5,West,Online,False,Sunny,27.154342182681738,Positive,16,Online Order,7,7,Sunday,64.74936421948141
8,2023-01-01 08:00:00,3,17.435265988182366,4,East,Cash,True,Rainy,27.154342182681738,Neutral,29,Phone Order,8,8,Sunday,69.74106395272946
9,2023-01-01 09:00:00,5,19.8689484010045,2,West,Credit Card,False,Rainy,20.42287010670833,Neutral,53,In Store,9,9,Sunday,39.737896802009
10,2023-01-01 10:00:00,2,17.30018943679034,3,South,Online,False,Cloudy,27.154342182681738,Neutral,42,In Store,10,10,Sunday,51.90056831037102
11,2023-01-01 11:00:00,3,15.423235605139388,4,West,Online,False,Rainy,33.22228729383366,Positive,15,In Store,11,11,Sunday,61.69294242055755
12,2023-01-01 12:00:00,6,12.9873904915572,4,East,Online,True,Sunny,26.238704814462643,Positive,19,Online Order,12,12,Sunday,51.9495619662288
13,2023-01-01 13:00:00,7,11.732796075120625,2,East,Credit Card,False,Cloudy,30.805000537489896,Negative,56,Phone Order,13,13,Sunday,23.46559215024125
14,2023-01-01 14:00:00,4,6.265885708168135,1,East,Cash,False,Cloudy,33.77427553069937,Positive,36,Phone Order,14,14,Sunday,6.265885708168135
15,2023-01-01 15:00:00,2,10.990531225920364,2,West,Cash,True,Rainy,26.12060692404225,Neutral,50,Phone Order,15,15,Sunday,21.981062451840728
16,2023-01-01 16:00:00,6,18.65201955173201,3,South,Credit Card,False,Rainy,22.86916056556096,Negative,27,In Store,16,16,Sunday,55.956058655196045
17,2023-01-01 17:00:00,0,17.120339448598294,4,North,Cash,False,Rainy,27.75676896285379,Positive,15,Phone Order,17,17,Sunday,68.48135779439318
18,2023-01-01 18:00:00,3,8.240770475175308,2,South,Credit Card,True,Cloudy,33.62125530589782,Positive,30,In Store,18,18,Sunday,16.481540950350617
19,2023-01-01 19:00:00,3,11.999116770458238,1,West,Cash,True,Rainy,32.06561621206551,Positive,55,Online Order,19,19,Sunday,11.999116770458238
20,2023-01-01 20:00:00,1,17.25084803837817,2,West,Online,False,Sunny,20.987447650447308,Positive,36,Phone Order,20,20,Sunday,34.50169607675634
21,2023-01-01 21:00:00,6,6.010768321782837,5,North,Cash,False,Rainy,30.38859200116373,Unknown,46,In Store,21,21,Sunday,30.053841608914187
22,2023-01-01 22:00:00,1,10.810888785029888,1,West,Credit Card,True,Rainy,28.578462836884302,Positive,30,Phone Order,22,22,Sunday,10.810888785029888
23,2023-01-01 23:00:00,5,17.777618553109214,3,East,Credit Card,True,Cloudy,33.61194764519638,Neutral,29,Phone Order,23,23,Sunday,53.33285565932764
24,2023-01-02 00:00:00,1,11.058467962551855,4,East,Online,False,Rainy,21.837221252754457,Neutral,56,Online Order,24,24,Monday,44.23387185020742
25,2023-01-02 01:00:00,5,6.1642196709716135,2,East,Credit Card,False,Cloudy,28.01054169806985,Neutral,26,Phone Order,25,25,Monday,12.328439341943229
26,2023-01-02 02:00:00,5,13.138015527983772,1,East,Cash,False,Rainy,33.191940402678384,Unknown,15,Online Order,26,26,Monday,13.138015527983772
27,2023-01-02 03:00:00,3,17.926137423774428,5,East,Cash,True,Sunny,26.150356801126144,Unknown,31,Phone Order,27,27,Monday,89.63068711887215
28,2023-01-02 04:00:00,0,13.854283144297396,1,West,Online,False,Sunny,27.229923765993007,Positive,55,Phone Order,28,28,Monday,13.854283144297396
29,2023-01-02 05:00:00,1,8.394186623213477,5,North,Credit Card,True,Cloudy,21.05691016500437,Negative,42,Phone Order,29,29,Monday,41.970933116067386
30,2023-01-02 06:00:00,6,10.76359430206072,3,North,Online,True,Cloudy,24.172154606733663,Positive,21,Phone Order,30,30,Monday,32.29078290618216
31,2023-01-02 07:00:00,5,11.751850417728985,4,East,Cash,True,Rainy,27.154342182681738,Neutral,23,Phone Order,31,31,Monday,47.00740167091593
32,2023-01-02 08:00:00,3,13.688995307307902,3,West,Online,False,Rainy,34.1768367311733,Positive,36,Phone Order,32,32,Monday,41.0669859219237
33,2023-01-02 09:00:00,4,16.390265386289194,2,South,Credit Card,False,Sunny,24.240010408117385,Negative,40,Online Order,33,33,Monday,32.78053077257839
34,2023-01-02 10:00:00,2,6.483104264609532,1,South,Online,False,Rainy,26.91303102904478,Negative,26,Online Order,34,34,Monday,6.483104264609532
35,2023-01-02 11:00:00,0,18.344780495263496,5,West,Credit Card,True,Sunny,30.0695663534642,Positive,21,In Store,35,35,Monday,91.72390247631748
36,2023-01-02 12:00:00,8,5.184645545241134,5,East,Credit Card,False,Cloudy,27.154342182681738,Positive,29,Phone Order,36,36,Monday,25.923227726205667
37,2023-01-02 13:00:00,4,10.550785020113828,1,North,Cash,True,Rainy,27.29663580712812,Positive,52,Online Order,37,37,Monday,10.550785020113828
38,2023-01-02 14:00:00,2,5.411304649589865,1,West,Cash,True,Cloudy,31.078085592138613,Negative,35,Phone Order,38,38,Monday,5.411304649589865
